PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCHGINDX] - ASSETS - 2024-12-31,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
SUB TOTAL FIXED INCOME INTERNALLY,,,,,,,,,,,"$29,582,960",3.96%,
FIXED INCOME,EXTERNALLY,-,-,"STATE STREET GLOBAL ADVISORS, AUSTRALIA, LIMITED",-,-,-,-,,,"$50,483,779",6.76%,
SUB TOTAL FIXED INCOME EXTERNALLY,,,,,,,,,,,"$50,483,779",6.76%,
LISTED EQUITY,-,-,-,-,COMMONWEALTH BANK OF AUSTRALIA,-,CBA AU,-,,"179,779","$27,551,176",3.69%,
LISTED EQUITY,-,-,-,-,"APPLE, INC.",-,AAPL US,-,,"57,107","$23,097,395",3.09%,
LISTED EQUITY,-,-,-,-,BHP GROUP LTD.,-,BHP AU,-,,"544,729","$21,544,033",2.88%,
LISTED EQUITY,-,-,-,-,NVIDIA CORP.,-,NVDA US,-,,"92,332","$20,026,226",2.68%,
LISTED EQUITY,-,-,-,-,MICROSOFT CORP.,-,MSFT US,-,,"26,514","$18,049,779",2.42%,
LISTED EQUITY,-,-,-,-,CSL LTD.,-,CSL AU,-,,"51,994","$14,640,405",1.96%,
LISTED EQUITY,-,-,-,-,"AMAZON.COM, INC.",-,AMZN US,-,,"35,451","$12,561,889",1.68%,
LISTED EQUITY,-,-,-,-,NATIONAL AUSTRALIA BANK LTD.,-,NAB AU,-,,"330,086","$12,246,184",1.64%,
LISTED EQUITY,-,-,-,-,WESTPAC BANKING CORP.,-,WBC AU,-,,"369,377","$11,938,258",1.60%,
LISTED EQUITY,-,-,-,-,ANZ GROUP HOLDINGS LTD.,-,ANZ AU,-,,"320,028","$9,133,597",1.22%,
LISTED EQUITY,-,-,-,-,WESFARMERS LTD.,-,WES AU,-,,"121,837","$8,714,976",1.17%,
LISTED EQUITY,-,-,-,-,MACQUARIE GROUP LTD.,-,MQG AU,-,,"38,875","$8,616,568",1.15%,
LISTED EQUITY,-,-,-,-,"META PLATFORMS, INC.",-,META US,-,,"8,232","$7,784,970",1.04%,
LISTED EQUITY,-,-,-,-,"TESLA, INC.",-,TSLA US,-,,"10,799","$7,043,286",0.94%,
LISTED EQUITY,-,-,-,-,"ALPHABET, INC.",-,GOOGL US,-,,"22,015","$6,730,759",0.90%,
LISTED EQUITY,-,-,-,-,"BROADCOM, INC.",-,AVGO US,-,,"16,655","$6,236,418",0.83%,
LISTED EQUITY,-,-,-,-,"ALPHABET, INC.",-,GOOG US,-,,"19,023","$5,851,407",0.78%,
LISTED EQUITY,-,-,-,-,WOODSIDE ENERGY GROUP LTD.,-,WDS AU,-,,"203,680","$5,010,531",0.67%,
LISTED EQUITY,-,-,-,-,TELSTRA GROUP LTD.,-,TLS AU,-,,"1,239,972","$4,972,288",0.67%,
LISTED EQUITY,-,-,-,-,RIO TINTO LTD.,-,RIO AU,-,,"39,520","$4,642,007",0.62%,
LISTED EQUITY,-,-,-,-,JPMORGAN CHASE & CO.,-,JPM US,-,,"10,744","$4,159,616",0.56%,
LISTED EQUITY,-,-,-,-,ARISTOCRAT LEISURE LTD.,-,ALL AU,-,,"60,802","$4,156,427",0.56%,
LISTED EQUITY,-,-,-,-,WOOLWORTHS GROUP LTD.,-,WOW AU,-,,"130,896","$3,991,010",0.53%,
LISTED EQUITY,-,-,-,-,ELI LILLY & CO.,-,LLY US,-,,"3,037","$3,786,768",0.51%,
LISTED EQUITY,-,-,-,-,FORTESCUE LTD.,-,FMG AU,-,,"181,597","$3,314,138",0.44%,
LISTED EQUITY,-,-,-,-,"VISA, INC.",-,V US,-,,"6,195","$3,162,010",0.42%,
LISTED EQUITY,-,-,-,-,QBE INSURANCE GROUP LTD.,-,QBE AU,-,,"161,672","$3,104,106",0.42%,
LISTED EQUITY,-,-,-,-,BRAMBLES LTD.,-,BXB AU,-,,"149,549","$2,877,322",0.39%,
LISTED EQUITY,-,-,-,-,"UNITEDHEALTH GROUP, INC.",-,UNH US,-,,"3,467","$2,832,611",0.38%,
LISTED EQUITY,-,-,-,-,COLES GROUP LTD.,-,COL AU,-,,"142,890","$2,699,198",0.36%,
LISTED EQUITY,-,-,-,-,"MASTERCARD, INC.",-,MA US,-,,"3,111","$2,646,367",0.35%,
LISTED EQUITY,-,-,-,-,XERO LTD.,-,XRO AU,-,,"15,591","$2,628,081",0.35%,
LISTED EQUITY,-,-,-,-,SUNCORP GROUP LTD.,-,SUN AU,-,,"136,637","$2,597,474",0.35%,
LISTED EQUITY,-,-,-,-,COSTCO WHOLESALE CORP.,-,COST US,-,,"1,664","$2,461,598",0.33%,
LISTED EQUITY,-,-,-,-,"RESMED, INC.",-,RMD AU,-,,"65,994","$2,426,591",0.32%,
LISTED EQUITY,-,-,-,-,"WALMART, INC.",-,WMT US,-,,"16,544","$2,414,192",0.32%,
LISTED EQUITY,-,-,-,-,PROCTER & GAMBLE CO.,-,PG US,-,,"8,858","$2,398,450",0.32%,
LISTED EQUITY,-,-,-,-,WISETECH GLOBAL LTD.,-,WTC AU,-,,"19,764","$2,392,603",0.32%,
LISTED EQUITY,-,-,-,-,"HOME DEPOT, INC.",-,HD US,-,,"3,715","$2,333,969",0.31%,
LISTED EQUITY,-,-,-,-,"NETFLIX, INC.",-,NFLX US,-,,"1,613","$2,322,330",0.31%,
