PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [VSACCCPSTB] - ASSETS - 2024-12-31,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
FIXED INCOME,INTERNALLY,-,BARTON TRUST,-,-,-,-,-,,,"$736,509",0.04%,
FIXED INCOME,INTERNALLY,-,LENDLEASE FINANCE LTD.,-,-,-,-,-,,,"$736,407",0.04%,
FIXED INCOME,INTERNALLY,-,BANCO SANTANDER SA,-,-,-,-,-,,,"$698,980",0.04%,
FIXED INCOME,INTERNALLY,-,MUFG BANK LTD.,-,-,-,-,-,,,"$694,369",0.04%,
FIXED INCOME,INTERNALLY,-,"CPPIB CAPITAL, INC.",-,-,-,-,-,,,"$690,868",0.04%,
FIXED INCOME,INTERNALLY,-,NEWCASTLE GREATER MUTUAL GROUP LTD.,-,-,-,-,-,,,"$647,031",0.04%,
FIXED INCOME,INTERNALLY,-,DRIVER AUSTRALIA TEN,-,-,-,-,-,,,"$637,182",0.04%,
FIXED INCOME,INTERNALLY,-,SYDNEY AIRPORT FINANCE CO PTY LTD,-,-,-,-,-,,,"$624,109",0.03%,
FIXED INCOME,INTERNALLY,-,DRIVER AUSTRALIA EIGHT,-,-,-,-,-,,,"$590,707",0.03%,
FIXED INCOME,INTERNALLY,-,HBS TRUST,-,-,-,-,-,,,"$541,706",0.03%,
FIXED INCOME,INTERNALLY,-,NBN CO. LTD.,-,-,-,-,-,,,"$522,478",0.03%,
FIXED INCOME,INTERNALLY,-,WESTERN AUSTRALIAN TREASURY CORP.,-,-,-,-,-,,,"$492,829",0.03%,
FIXED INCOME,INTERNALLY,-,SCENTRE GROUP TRUST 1,-,-,-,-,-,,,"$429,957",0.02%,
FIXED INCOME,INTERNALLY,-,INTER-AMERICAN INVESTMENT CORP.,-,-,-,-,-,,,"$420,974",0.02%,
FIXED INCOME,INTERNALLY,-,VOLKSWAGEN FINANCIAL SERVICES AUSTRALIA PTY LTD,-,-,-,-,-,,,"$409,649",0.02%,
FIXED INCOME,INTERNALLY,-,TEACHERS MUTUAL BANK LTD.,-,-,-,-,-,,,"$388,052",0.02%,
FIXED INCOME,INTERNALLY,-,THE SUPERANNUATION MEMBERS HOME LOAN PROGRAMME,-,-,-,-,-,,,"$384,990",0.02%,
FIXED INCOME,INTERNALLY,-,THINK TANK RESIDENTIAL TRUST,-,-,-,-,-,,,"$380,417",0.02%,
FIXED INCOME,INTERNALLY,-,ASIAN INFRASTRUCTURE INVESTMENT BANK,-,-,-,-,-,,,"$378,820",0.02%,
FIXED INCOME,INTERNALLY,-,PINNACLE TRUST,-,-,-,-,-,,,"$338,064",0.02%,
FIXED INCOME,INTERNALLY,-,RESIMAC PREMIER,-,-,-,-,-,,,"$316,908",0.02%,
FIXED INCOME,INTERNALLY,-,BLUESTONE PRIME TRUST,-,-,-,-,-,,,"$312,493",0.02%,
FIXED INCOME,INTERNALLY,-,VICINITY CENTRES TRUST,-,-,-,-,-,,,"$290,803",0.02%,
FIXED INCOME,INTERNALLY,-,MORTGAGE HOUSE RMBS PRIME,-,-,-,-,-,,,"$285,187",0.02%,
FIXED INCOME,INTERNALLY,-,RWH FINANCE PTY LTD,-,-,-,-,-,,,"$281,394",0.02%,
FIXED INCOME,INTERNALLY,-,ASIAN DEVELOPMENT BANK,-,-,-,-,-,,,"$265,236",0.01%,
FIXED INCOME,INTERNALLY,-,EUROPEAN INVESTMENT BANK,-,-,-,-,-,,,"$256,903",0.01%,
FIXED INCOME,INTERNALLY,-,SOUTH AUSTRALIAN GOVERNMENT FINANCING AUTHORITY,-,-,-,-,-,,,"$207,896",0.01%,
FIXED INCOME,INTERNALLY,-,INTERNATIONAL BANK FOR RECONSTRUCTION & DEVELOPMENT,-,-,-,-,-,,,"$200,814",0.01%,
