PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [VSACCSOCCN] - ASSETS - 2024-12-31,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
LISTED EQUITY,-,-,-,-,SUNCORP GROUP LTD.,-,SUN AU,-,,"577,270","$10,973,900",0.42%,
LISTED EQUITY,-,-,-,-,"ALPHABET, INC.",-,GOOG US,-,,"35,102","$10,796,789",0.41%,
LISTED EQUITY,-,-,-,-,QBE INSURANCE GROUP LTD.,-,QBE AU,-,,"542,594","$10,417,807",0.40%,
LISTED EQUITY,-,-,-,-,JB HI-FI LTD.,-,JBH AU,-,,"110,089","$10,203,036",0.39%,
LISTED EQUITY,-,-,-,-,TECHNOLOGY ONE LTD.,-,TNE AU,-,,"320,464","$10,033,730",0.38%,
LISTED EQUITY,-,-,-,-,MACQUARIE GROUP LTD.,-,MQG AU,-,,"43,433","$9,626,900",0.37%,
LISTED EQUITY,-,-,-,-,"VERIZON COMMUNICATIONS, INC.",-,VZ US,-,,"136,037","$8,786,444",0.34%,
LISTED EQUITY,-,-,-,-,TELSTRA GROUP LTD.,-,TLS AU,-,,"2,185,010","$8,761,889",0.34%,
LISTED EQUITY,-,-,-,-,WALT DISNEY CO.,-,DIS US,-,,"48,632","$8,746,103",0.33%,
LISTED EQUITY,-,-,-,-,NORTHERN STAR RESOURCES LTD.,-,NST AU,-,,"565,616","$8,733,115",0.33%,
LISTED EQUITY,-,-,-,-,IGO LTD.,-,IGO AU,-,,"1,819,221","$8,677,685",0.33%,
LISTED EQUITY,-,-,-,-,XERO LTD.,-,XRO AU,-,,"50,904","$8,580,368",0.33%,
LISTED EQUITY,-,-,-,-,PERSEUS MINING LTD.,-,PRU AU,-,,"3,334,305","$8,569,164",0.33%,
LISTED EQUITY,-,-,-,-,"RESMED, INC.",-,RMD AU,-,,"221,356","$8,139,243",0.31%,
LISTED EQUITY,-,-,-,-,ASML HOLDING NV,-,ASML NA,-,,"6,979","$7,922,483",0.30%,
