PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCBALINDX] - ASSETS - 2024-12-31,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
LISTED EQUITY,-,-,-,-,WOOLWORTHS GROUP LTD.,-,WOW AU,-,,"46,820","$1,427,554",0.46%,
LISTED EQUITY,-,-,-,-,ELI LILLY & CO.,-,LLY US,-,,"1,076","$1,341,845",0.43%,
LISTED EQUITY,-,-,-,-,FORTESCUE LTD.,-,FMG AU,-,,"64,956","$1,185,442",0.38%,
LISTED EQUITY,-,-,-,-,"VISA, INC.",-,V US,-,,"2,195","$1,120,534",0.36%,
LISTED EQUITY,-,-,-,-,QBE INSURANCE GROUP LTD.,-,QBE AU,-,,"57,829","$1,110,315",0.36%,
LISTED EQUITY,-,-,-,-,BRAMBLES LTD.,-,BXB AU,-,,"53,493","$1,029,196",0.33%,
LISTED EQUITY,-,-,-,-,"UNITEDHEALTH GROUP, INC.",-,UNH US,-,,"1,229","$1,003,742",0.32%,
LISTED EQUITY,-,-,-,-,COLES GROUP LTD.,-,COL AU,-,,"51,111","$965,483",0.31%,
LISTED EQUITY,-,-,-,-,XERO LTD.,-,XRO AU,-,,"5,577","$940,045",0.30%,
LISTED EQUITY,-,-,-,-,"MASTERCARD, INC.",-,MA US,-,,"1,103","$937,730",0.30%,
LISTED EQUITY,-,-,-,-,SUNCORP GROUP LTD.,-,SUN AU,-,,"48,874","$929,097",0.30%,
LISTED EQUITY,-,-,-,-,COSTCO WHOLESALE CORP.,-,COST US,-,,590,"$872,281",0.28%,
LISTED EQUITY,-,-,-,-,"RESMED, INC.",-,RMD AU,-,,"23,605","$867,973",0.28%,
LISTED EQUITY,-,-,-,-,WISETECH GLOBAL LTD.,-,WTC AU,-,,"7,069","$855,816",0.28%,
LISTED EQUITY,-,-,-,-,"WALMART, INC.",-,WMT US,-,,"5,863","$855,502",0.28%,
LISTED EQUITY,-,-,-,-,PROCTER & GAMBLE CO.,-,PG US,-,,"3,138","$849,901",0.27%,
LISTED EQUITY,-,-,-,-,"HOME DEPOT, INC.",-,HD US,-,,"1,316","$827,043",0.27%,
LISTED EQUITY,-,-,-,-,JAMES HARDIE INDUSTRIES PLC,-,JHX AU,-,,"16,438","$823,071",0.27%,
LISTED EQUITY,-,-,-,-,"NETFLIX, INC.",-,NFLX US,-,,572,"$822,911",0.27%,
LISTED EQUITY,-,-,-,-,INSURANCE AUSTRALIA GROUP LTD.,-,IAG AU,-,,"91,286","$772,281",0.25%,
LISTED EQUITY,-,-,-,-,JOHNSON & JOHNSON,-,JNJ US,-,,"3,212","$750,258",0.24%,
LISTED EQUITY,-,-,-,-,COCHLEAR LTD.,-,COH AU,-,,"2,497","$723,811",0.23%,
LISTED EQUITY,-,-,-,-,COMPUTERSHARE LTD.,-,CPU AU,-,,"20,504","$696,111",0.22%,
LISTED EQUITY,-,-,-,-,"SALESFORCE, INC.",-,CRM US,-,,"1,288","$695,729",0.22%,
LISTED EQUITY,-,-,-,-,"ABBVIE, INC.",-,ABBV US,-,,"2,358","$676,609",0.22%,
LISTED EQUITY,-,-,-,-,NORTHERN STAR RESOURCES LTD.,-,NST AU,-,,"43,774","$675,875",0.22%,
LISTED EQUITY,-,-,-,-,BANK OF AMERICA CORP.,-,BAC US,-,,"9,352","$663,852",0.21%,
LISTED EQUITY,-,-,-,-,ASML HOLDING NV,-,ASML NA,-,,535,"$607,359",0.20%,
LISTED EQUITY,-,-,-,-,NOVO NORDISK AS,-,NOVOB DC,-,,"4,298","$601,682",0.19%,
LISTED EQUITY,-,-,-,-,ORACLE CORP.,-,ORCL US,-,,"2,207","$593,833",0.19%,
LISTED EQUITY,-,-,-,-,PRO MEDICUS LTD.,-,PME AU,-,,"2,199","$549,929",0.18%,
LISTED EQUITY,-,-,-,-,SAP SE,-,SAP GR,-,,"1,390","$549,430",0.18%,
LISTED EQUITY,-,-,-,-,COCA-COLA CO.,-,KO US,-,,"5,433","$546,259",0.18%,
LISTED EQUITY,-,-,-,-,"MERCK & CO., INC.",-,MRK US,-,,"3,395","$545,489",0.18%,
LISTED EQUITY,-,-,-,-,WELLS FARGO & CO.,-,WFC US,-,,"4,619","$523,925",0.17%,
LISTED EQUITY,-,-,-,-,CAR GROUP LTD.,-,CAR AU,-,,"14,469","$521,325",0.17%,
LISTED EQUITY,-,-,-,-,"CISCO SYSTEMS, INC.",-,CSCO US,-,,"5,346","$511,131",0.16%,
LISTED EQUITY,-,-,-,-,ASX LTD.,-,ASX AU,-,,"7,367","$479,427",0.15%,
LISTED EQUITY,-,-,-,-,REA GROUP LTD.,-,REA AU,-,,"2,044","$476,785",0.15%,
LISTED EQUITY,-,-,-,-,ACCENTURE PLC,-,ACN US,-,,837,"$475,819",0.15%,
LISTED EQUITY,-,-,-,-,"SERVICENOW, INC.",-,NOW US,-,,274,"$469,777",0.15%,
LISTED EQUITY,-,-,-,-,SONIC HEALTHCARE LTD.,-,SHL AU,-,,"17,338","$468,305",0.15%,
LISTED EQUITY,-,-,-,-,NESTLE SA,-,NESN SW,-,,"3,509","$468,299",0.15%,
LISTED EQUITY,-,-,-,-,MCDONALD'S CORP.,-,MCD US,-,,961,"$449,984",0.15%,
LISTED EQUITY,-,-,-,-,"PEPSICO, INC.",-,PEP US,-,,"1,831","$449,582",0.15%,
LISTED EQUITY,-,-,-,-,TOYOTA MOTOR CORP.,-,7203 JP,-,,"13,676","$442,186",0.14%,
LISTED EQUITY,-,-,-,-,WALT DISNEY CO.,-,DIS US,-,,"2,445","$439,692",0.14%,
LISTED EQUITY,-,-,-,-,ASTRAZENECA PLC,-,AZN LN,-,,"2,069","$438,166",0.14%,
LISTED EQUITY,-,-,-,-,INTERNATIONAL BUSINESS MACHINES CORP.,-,IBM US,-,,"1,227","$435,629",0.14%,
