PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCHGRO] - ASSETS - 2024-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,VELOCITY FREQUENT FLYER PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,VESTONE CAPITAL ABS WAREHOUSE TRUST NO.2,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,VISY PACKAGING PROPERTIES PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,YHA PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,ZEUSS CHILDCARE III PTY LTD,-,-,-,-,-,,,,,
SUB TOTAL FIXED INCOME (PRIVATE DEBT) INTERNALLY,,,,,,,,,,,"$534,582,887.00",0.64%,
FIXED INCOME,EXTERNALLY,-,-,"BAIN CAPITAL CREDIT, LP",-,-,-,-,,,"$1,148,396,483",1.37%,
FIXED INCOME,EXTERNALLY,-,-,WESTBOURNE CREDIT MANAGEMENT LTD,-,-,-,-,,,"$173,276,534",0.21%,
FIXED INCOME,EXTERNALLY,-,-,"STATE STREET GLOBAL ADVISORS, AUSTRALIA, LIMITED",-,-,-,-,,,"$169,653,619",0.20%,
FIXED INCOME,EXTERNALLY,-,-,PAYDEN & RYGEL GLOBAL LIMITED,-,-,-,-,,,"$99,027,546",0.12%,
FIXED INCOME,EXTERNALLY,-,-,FLAG ASSET MANAGEMENT PTY LTD,-,-,-,-,,,"$94,419,913",0.11%,
FIXED INCOME,EXTERNALLY,-,-,CHALLENGER LIFE COMPANY LIMITED,-,-,-,-,,,"$25,324,029",0.03%,
FIXED INCOME,EXTERNALLY,-,-,ARES MANAGEMENT UK LIMITED,-,-,-,-,,,"$20,858,989",0.02%,
FIXED INCOME,EXTERNALLY,-,-,"OAKTREE CAPITAL MANAGEMENT, L.P.",-,-,-,-,,,"$4,018,554",0.00%,
FIXED INCOME,EXTERNALLY,-,-,INTERMEDIATE CAPITAL GROUP PLC,-,-,-,-,,,"$827,686",0.00%,
SUB TOTAL FIXED INCOME EXTERNALLY,,,,,,,,,,,"$1,735,803,352",2.06%,
LISTED EQUITY,-,-,-,-,BHP GROUP LTD.,-,BHP AU,-,,"39,324,941","$1,678,388,476",2.00%,
LISTED EQUITY,-,-,-,-,MICROSOFT CORP.,-,MSFT US,-,,"2,067,041","$1,383,341,052",1.64%,
LISTED EQUITY,-,-,-,-,COMMONWEALTH BANK OF AUSTRALIA,-,CBA AU,-,,"9,674,480","$1,232,335,340",1.47%,
LISTED EQUITY,-,-,-,-,CSL LTD.,-,CSL AU,-,,"4,096,783","$1,209,411,004",1.44%,
LISTED EQUITY,-,-,-,-,"APPLE, INC.",-,AAPL US,-,,"3,409,255","$1,075,176,997",1.28%,
LISTED EQUITY,-,-,-,-,"AMAZON.COM, INC.",-,AMZN US,-,,"3,694,011","$1,068,904,076",1.27%,
LISTED EQUITY,-,-,-,-,NVIDIA CORP.,-,NVDA US,-,,"5,537,103","$1,024,262,415",1.22%,
LISTED EQUITY,-,-,-,-,NATIONAL AUSTRALIA BANK LTD.,-,NAB AU,-,,"21,148,218","$766,199,944",0.91%,
LISTED EQUITY,-,-,-,-,MACQUARIE GROUP LTD.,-,MQG AU,-,,"3,297,907","$675,048,721",0.80%,
LISTED EQUITY,-,-,-,-,"META PLATFORMS, INC.",-,META US,-,,"858,248","$647,969,483",0.77%,
LISTED EQUITY,-,-,-,-,ANZ GROUP HOLDINGS LTD.,-,ANZ AU,-,,"22,790,618","$643,607,029",0.77%,
LISTED EQUITY,-,-,-,-,"ALPHABET, INC.",-,GOOGL US,-,,"2,240,605","$611,104,358",0.73%,
LISTED EQUITY,-,-,-,-,"ALPHABET, INC.",-,GOOG US,-,,"2,015,976","$553,672,855",0.66%,
LISTED EQUITY,-,-,-,-,WESTPAC BANKING CORP.,-,WBC AU,-,,"20,108,984","$547,567,667",0.65%,
LISTED EQUITY,-,-,-,-,"RESMED, INC.",-,RMD AU,-,,"17,222,553","$501,176,310",0.60%,
LISTED EQUITY,-,-,-,-,TELSTRA GROUP LTD.,-,TLS AU,-,,"135,331,181","$489,898,877",0.58%,
LISTED EQUITY,-,-,-,-,"UNITEDHEALTH GROUP, INC.",-,UNH US,-,,"601,265","$458,485,750",0.55%,
LISTED EQUITY,-,-,-,-,WOODSIDE ENERGY GROUP LTD.,-,WDS AU,-,,"14,470,780","$408,220,694",0.49%,
LISTED EQUITY,-,-,-,-,RIO TINTO LTD.,-,RIO AU,-,,"3,329,748","$396,240,032",0.47%,
LISTED EQUITY,-,-,-,-,WESFARMERS LTD.,-,WES AU,-,,"5,595,700","$364,727,686",0.43%,
LISTED EQUITY,-,-,-,-,XERO LTD.,-,XRO AU,-,,"2,598,272","$354,404,170",0.42%,
LISTED EQUITY,-,-,-,-,TAIWAN SEMICONDUCTOR MANUFACTURING CO. LTD.,-,TSM US,-,,"1,338,887","$348,449,388",0.41%,
LISTED EQUITY,-,-,-,-,CAR GROUP LTD.,-,CAR AU,-,,"9,482,209","$334,247,877",0.40%,
LISTED EQUITY,-,-,-,-,QBE INSURANCE GROUP LTD.,-,QBE AU,-,,"18,602,688","$323,500,784",0.38%,
LISTED EQUITY,-,-,-,-,FISHER & PAYKEL HEALTHCARE CORP. LTD.,-,FPH AU,-,,"10,719,058","$297,668,260",0.35%,
LISTED EQUITY,-,-,-,-,WISETECH GLOBAL LTD.,-,WTC AU,-,,"2,898,542","$290,723,607",0.35%,
LISTED EQUITY,-,-,-,-,"ELEVANCE HEALTH, INC.",-,ELV US,-,,"345,377","$280,220,828",0.33%,
LISTED EQUITY,-,-,-,-,BRAMBLES LTD.,-,BXB AU,-,,"19,243,258","$279,604,527",0.33%,
LISTED EQUITY,-,-,-,-,COCHLEAR LTD.,-,COH AU,-,,"813,505","$270,205,643",0.32%,
LISTED EQUITY,-,-,-,-,NOVO NORDISK AS,-,NOVOB DC,-,,"1,240,086","$268,349,889",0.32%,
LISTED EQUITY,-,-,-,-,JAMES HARDIE INDUSTRIES PLC,-,JHX AU,-,,"5,542,289","$262,150,175",0.31%,
LISTED EQUITY,-,-,-,-,SAMSUNG ELECTRONICS CO. LTD.,-,005930 KS,-,,"2,903,285","$257,390,245",0.31%,
LISTED EQUITY,-,-,-,-,WOOLWORTHS GROUP LTD.,-,WOW AU,-,,"7,605,527","$256,990,753",0.31%,
LISTED EQUITY,-,-,-,-,NEXTDC LTD.,-,NXT AU,-,,"13,866,723","$244,470,303",0.29%,
LISTED EQUITY,-,-,-,-,CANADIAN PACIFIC KANSAS CITY LTD.,-,CP US,-,,"2,034,393","$239,825,840",0.29%,
LISTED EQUITY,-,-,-,-,JPMORGAN CHASE & CO.,-,JPM US,-,,"770,008","$233,198,216",0.28%,
LISTED EQUITY,-,-,-,-,LOTTERY CORP. LTD.,-,TLC AU,-,,"45,742,555","$231,914,750",0.28%,
LISTED EQUITY,-,-,-,-,AON PLC,-,AON US,-,,"503,865","$221,493,846",0.26%,
LISTED EQUITY,-,-,-,-,REA GROUP LTD.,-,REA AU,-,,"1,120,292","$220,316,997",0.26%,
LISTED EQUITY,-,-,-,-,ARISTOCRAT LEISURE LTD.,-,ALL AU,-,,"4,381,462","$218,021,536",0.26%,
