PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCCGRO] - ASSETS - 2024-12-31,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
FIXED INCOME,INTERNALLY,-,DRIVER AUSTRALIA TEN,-,-,-,-,-,,,"$1,851,190",0.07%,
FIXED INCOME,INTERNALLY,-,DRIVER AUSTRALIA EIGHT,-,-,-,-,-,,,"$1,716,167",0.07%,
FIXED INCOME,INTERNALLY,-,HBS TRUST,-,-,-,-,-,,,"$1,573,807",0.06%,
FIXED INCOME,INTERNALLY,-,SCENTRE GROUP TRUST 1,-,-,-,-,-,,,"$1,157,909",0.05%,
FIXED INCOME,INTERNALLY,-,TEACHERS MUTUAL BANK LTD.,-,-,-,-,-,,,"$1,127,397",0.04%,
FIXED INCOME,INTERNALLY,-,THE SUPERANNUATION MEMBERS HOME LOAN PROGRAMME,-,-,-,-,-,,,"$1,118,503",0.04%,
FIXED INCOME,INTERNALLY,-,THINK TANK RESIDENTIAL TRUST,-,-,-,-,-,,,"$1,105,218",0.04%,
FIXED INCOME,INTERNALLY,-,"CPPIB CAPITAL, INC.",-,-,-,-,-,,,"$991,211",0.04%,
FIXED INCOME,INTERNALLY,-,PINNACLE TRUST,-,-,-,-,-,,,"$982,170",0.04%,
FIXED INCOME,INTERNALLY,-,RESIMAC PREMIER,-,-,-,-,-,,,"$920,706",0.04%,
FIXED INCOME,INTERNALLY,-,BLUESTONE PRIME TRUST,-,-,-,-,-,,,"$907,879",0.04%,
FIXED INCOME,INTERNALLY,-,SYDNEY AIRPORT FINANCE CO PTY LTD,-,-,-,-,-,,,"$895,429",0.03%,
FIXED INCOME,INTERNALLY,-,MUFG BANK LTD.,-,-,-,-,-,,,"$876,425",0.03%,
FIXED INCOME,INTERNALLY,-,VICINITY CENTRES TRUST,-,-,-,-,-,,,"$844,863",0.03%,
FIXED INCOME,INTERNALLY,-,MORTGAGE HOUSE RMBS PRIME,-,-,-,-,-,,,"$828,548",0.03%,
FIXED INCOME,INTERNALLY,-,DBG CONSOLIDATED HOLDINGS PTY LTD,-,-,-,-,-,,,"$825,117",0.03%,
FIXED INCOME,INTERNALLY,-,NBN CO. LTD.,-,-,-,-,-,,,"$734,356",0.03%,
FIXED INCOME,INTERNALLY,-,WESTERN AUSTRALIAN TREASURY CORP.,-,-,-,-,-,,,"$707,078",0.03%,
FIXED INCOME,INTERNALLY,-,INTER-AMERICAN INVESTMENT CORP.,-,-,-,-,-,,,"$603,984",0.02%,
FIXED INCOME,INTERNALLY,-,LENDLEASE FINANCE LTD.,-,-,-,-,-,,,"$572,544",0.02%,
FIXED INCOME,INTERNALLY,-,ASIAN INFRASTRUCTURE INVESTMENT BANK,-,-,-,-,-,,,"$543,505",0.02%,
FIXED INCOME,INTERNALLY,-,GPT WHOLESALE OFFICE FUND NO1,-,-,-,-,-,,,"$514,309",0.02%,
FIXED INCOME,INTERNALLY,-,SUNCORP GROUP LTD.,-,-,-,-,-,,,"$513,589",0.02%,
FIXED INCOME,INTERNALLY,-,VOLKSWAGEN FINANCIAL SERVICES AUSTRALIA PTY LTD,-,-,-,-,-,,,"$513,239",0.02%,
FIXED INCOME,INTERNALLY,-,RWH FINANCE PTY LTD,-,-,-,-,-,,,"$403,725",0.02%,
FIXED INCOME,INTERNALLY,-,ASIAN DEVELOPMENT BANK,-,-,-,-,-,,,"$380,543",0.01%,
FIXED INCOME,INTERNALLY,-,EUROPEAN INVESTMENT BANK,-,-,-,-,-,,,"$368,587",0.01%,
FIXED INCOME,INTERNALLY,-,SOUTH AUSTRALIAN GOVERNMENT FINANCING AUTHORITY,-,-,-,-,-,,,"$298,275",0.01%,
FIXED INCOME,INTERNALLY,-,INTERNATIONAL BANK FOR RECONSTRUCTION & DEVELOPMENT,-,-,-,-,-,,,"$288,115",0.01%,
FIXED INCOME,INTERNALLY,-,KREDITANSTALT FUER WIEDERAUFBAU,-,-,-,-,-,,,"$76,672",0.00%,
FIXED INCOME,INTERNALLY,-,AUSTRALIAN NATIONAL UNIVERSITY,-,-,-,-,-,,,"$42,969",0.00%,
FIXED INCOME,INTERNALLY,-,JEM SOUTHBANK PTY LTD,-,-,-,-,-,,,"$22,856",0.00%,
FIXED INCOME,INTERNALLY,-,AXIOM EDUCATION PTY LTD,-,-,-,-,-,,,"$7,968",0.00%,
FIXED INCOME,INTERNALLY,-,MPC FUNDING LTD.,-,-,-,-,-,,,"$4,286",0.00%,
FIXED INCOME,INTERNALLY,-,"LEHMAN BROTHERS HOLDINGS, INC.",-,-,-,-,-,,,$34,0.00%,
FIXED INCOME,INTERNALLY,-,GSR MORTGAGE LOAN TRUST,-,-,-,-,-,,,$8,0.00%,
FIXED INCOME,INTERNALLY,-,HOME EQUITY ASSET TRUST,-,-,-,-,-,,,$3,0.00%,
SUB TOTAL FIXED INCOME INTERNALLY,,,,,,,,,,,"$826,123,198.00",31.88%,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,ANCORA BIDCO B PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,ANDANTE FINANCE COMPANY PTY LIMITED,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,APOG BIDCO PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,AUSTRALIAN SALES FINANCE AND CREDIT CARDS TRUST NO. 3,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,BLANALKO PTY LTD AS TRUSTEE FOR THE BLANALKO SCT PROPERTY TRUST,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,CIRRUS HOLDINGS 2 PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,CREDABL WAREHOUSE TRUST NO.1,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,CX BIDCO PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,DEVICE TECHNOLOGIES AUSTRALIA PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,ENWERD PTY LTD AS TRUSTEE FOR THE N & W WERDIGER FAMILY TRUST,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,FP TURBO WAREHOUSE TRUST 2021-1,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,HARRIS FARM MARKETS FINANCE PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,HIREPOOL FINANCE LIMITED,-,-,-,-,-,,,,,
